,ground_nof,bstory_cnt,bottom_area,season_se_nm,fire_ocrn_hour,daywk,sigungu_nm,spt_safe_cnter_dist,fclty_place_lclas_nm,fio_join_trgt_yn,frmng_trgt_yn,mub_yn,emrg_crg_oper_yn,time_unit_tmprt,time_unit_ws,time_unit_humidity,time_unit_rainqty,time_unit_msnf,totar
2859,3.0,1.0,80.42,가을,22.0,목요일,동대문구,0.6,주거,N,N,N,N,26.9,3.7,92.0,0.0,0.0,329.9
2860,4.0,0.0,70.22,가을,22.0,목요일,은평구,2.5,생활서비스,N,N,N,N,26.9,3.7,92.0,0.0,0.0,238.58
2861,3.0,3.0,20.0,가을,22.0,목요일,송파구,1.0,판매/업무시설,N,Y,N,N,26.9,3.7,92.0,0.0,0.0,125521.37
2863,20.0,5.0,812.28,가을,3.0,금요일,동대문구,0.2,판매/업무시설,N,Y,N,N,25.2,3.9,91.0,0.0,0.0,19170.08
2865,4.0,1.0,106.93,가을,10.0,금요일,동작구,2.9,생활서비스,N,Y,N,N,25.5,3.3,86.0,0.0,0.0,813.7
2866,2.0,1.0,73.04,가을,11.0,금요일,중랑구,2.0,주거,N,N,N,N,26.2,3.1,82.0,0.0,0.0,194.74
2867,3.0,1.0,100.0,가을,12.0,금요일,송파구,0.7,주거,N,N,N,N,26.4,2.0,79.0,0.0,0.0,412.0
2868,4.0,1.0,323.0,가을,12.0,금요일,마포구,1.4,판매/업무시설,N,N,N,N,26.4,2.0,79.0,0.0,0.0,1497.0
2869,4.0,1.0,118.0,가을,14.0,금요일,강남구,1.8,판매/업무시설,N,Y,N,N,27.3,2.8,78.0,0.0,0.0,606.52
2870,4.0,1.0,82.22,가을,15.0,금요일,중랑구,1.2,산업시설,N,N,N,N,27.0,2.7,79.0,0.0,0.0,432.88
2871,4.0,0.0,105.43,가을,16.0,금요일,도봉구,1.5,주거,N,N,N,N,27.4,2.4,78.0,0.0,0.0,314.15
2872,5.0,1.0,250.0,가을,18.0,금요일,은평구,2.0,판매/업무시설,N,N,N,N,27.8,2.2,73.0,0.0,0.0,1126.0
2873,2.0,1.0,48.36,가을,21.0,금요일,노원구,1.7,주거,N,N,N,N,25.8,2.4,84.0,0.0,0.0,118.44
2876,3.0,1.0,77.0,가을,7.0,토요일,동대문구,1.7,주거,N,N,N,N,24.1,2.0,94.0,0.0,0.0,200.0
2877,2.0,1.0,75.07,가을,9.0,토요일,성동구,2.5,판매/업무시설,N,N,N,N,24.5,1.5,93.0,0.0,0.0,144.09
2878,4.0,0.0,446.0,가을,10.0,토요일,용산구,1.2,판매/업무시설,N,Y,N,N,25.4,2.2,90.0,0.0,0.0,1648.0
2879,15.0,3.0,1839.5,가을,10.0,토요일,노원구,0.7,판매/업무시설,N,Y,N,N,25.4,2.2,90.0,0.0,0.0,33657.06
2880,3.0,1.0,109.06,가을,11.0,토요일,마포구,1.7,주거,N,N,N,N,26.6,1.8,85.0,0.0,0.0,398.56
2881,3.0,0.0,33.0,가을,11.0,토요일,중구,1.5,산업시설,N,N,N,N,26.6,1.8,85.0,0.0,0.0,344.85
2882,13.0,1.0,1055.3,가을,11.0,토요일,강동구,1.7,주거,N,N,N,N,26.6,1.8,85.0,0.0,0.0,13334.16
2885,4.0,1.0,102.58,가을,15.0,토요일,서대문구,1.9,생활서비스,N,N,N,N,30.7,1.5,68.0,0.0,0.0,441.29
2886,5.0,1.0,40.0,가을,17.0,토요일,송파구,1.5,주거,N,N,N,N,30.5,1.0,67.0,0.0,0.0,496.72
2887,2.0,1.0,64.47,가을,18.0,토요일,강동구,0.8,주거,N,N,N,N,30.3,2.2,70.0,0.0,0.0,201.11
2888,4.0,1.0,134.94,가을,19.0,토요일,강북구,1.8,주거,N,N,N,N,29.6,2.2,71.0,0.0,0.0,618.09
2889,14.0,6.0,970.03,가을,19.0,토요일,서초구,2.0,집합시설,N,N,N,N,29.6,2.2,71.0,0.0,0.0,21518.29
2890,2.0,1.0,75.5,가을,22.0,토요일,성동구,2.2,주거,N,N,N,N,27.1,1.7,78.0,0.0,0.0,213.67
2891,2.0,1.0,75.07,가을,23.0,토요일,성동구,2.0,판매/업무시설,N,N,N,N,26.6,1.8,78.0,0.0,0.0,144.99
2892,6.0,1.0,177.84,가을,23.0,토요일,관악구,2.4,생활서비스,Y,Y,Y,N,26.6,1.8,78.0,0.0,0.0,1022.37
2893,2.0,1.0,59.76,가을,5.0,일요일,금천구,1.0,주거,N,N,N,N,24.8,0.5,87.0,0.0,0.0,162.28
2894,3.0,1.0,156.64,가을,7.0,일요일,서대문구,1.5,판매/업무시설,N,N,N,N,25.1,1.7,88.0,0.0,0.0,579.56
2897,3.0,0.0,0.0,가을,10.0,일요일,서대문구,3.2,생활서비스,N,N,N,N,29.4,1.0,72.0,0.0,0.0,523.96
2898,3.0,1.0,178.64,가을,12.0,일요일,마포구,1.0,생활서비스,N,N,N,N,31.8,1.2,63.0,0.0,0.0,413.31
2900,2.0,1.0,91.85,가을,14.0,일요일,강남구,2.6,주거,N,N,N,N,33.5,1.3,56.0,0.0,0.0,258.82
2901,12.0,2.0,429.57,가을,15.0,일요일,강남구,1.9,주거,N,Y,N,N,34.4,1.9,50.0,0.0,0.0,4799.82
2902,18.0,1.0,733.0,가을,16.0,일요일,동대문구,1.8,주거,N,Y,N,N,35.0,1.8,48.0,0.0,0.0,12393.0
2903,17.0,5.0,3822.58,가을,17.0,일요일,송파구,1.5,생활서비스,N,Y,N,N,33.2,3.9,58.0,0.0,0.0,54820.33
2904,5.0,0.0,203.0,가을,19.0,일요일,도봉구,2.5,주거,N,N,N,N,30.7,2.6,64.0,0.0,0.0,656.0
2906,15.0,3.0,14.94,가을,6.0,월요일,강서구,1.7,주거,N,Y,N,N,24.9,1.2,81.0,0.0,0.0,15723.63
2908,6.0,1.0,285.69,가을,10.0,월요일,강남구,2.3,판매/업무시설,N,Y,N,N,28.0,1.4,65.0,0.0,0.0,1971.7
2909,15.0,1.0,503.57,가을,10.0,월요일,종로구,2.7,주거,N,N,N,N,28.0,1.4,65.0,0.0,0.0,6558.44
2911,2.0,1.0,58.09,가을,14.0,월요일,노원구,1.6,주거,N,N,N,N,29.9,3.8,66.0,0.0,0.0,167.75
2912,5.0,1.0,148.95,가을,14.0,월요일,강북구,1.9,산업시설,N,N,N,N,29.9,3.8,66.0,0.0,0.0,931.89
2913,2.0,0.0,177.85,가을,15.0,월요일,은평구,1.5,생활서비스,N,N,N,N,29.8,2.3,67.0,0.0,0.0,346.71
2914,14.0,1.0,50.54,가을,16.0,월요일,마포구,2.0,주거,N,Y,N,N,28.7,2.4,78.0,0.9,0.0,280687.5
2915,26.0,3.0,142349.47,가을,18.0,월요일,서초구,2.0,주거,N,N,N,N,27.8,2.1,81.0,0.0,0.0,378322.38
2916,2.0,0.0,40.4,가을,18.0,월요일,영등포구,1.6,생활서비스,N,N,N,N,27.8,2.1,81.0,0.0,0.0,71.81
2917,2.0,1.0,37.0,가을,18.0,월요일,마포구,2.2,주거,N,N,N,N,27.8,2.1,81.0,0.0,0.0,120.49
2918,15.0,1.0,84.77,가을,23.0,월요일,양천구,1.2,주거,N,N,N,N,25.5,2.3,76.0,0.0,0.0,12386.76
2919,4.0,2.0,1000.0,가을,0.0,화요일,동대문구,1.5,판매/업무시설,N,N,N,N,25.1,2.9,77.0,0.0,0.0,7493.85
2920,2.0,1.0,72.89,가을,1.0,화요일,동대문구,1.3,주거,N,N,N,N,24.6,2.5,78.0,0.0,0.0,159.93
2921,15.0,0.0,508.6,가을,7.0,화요일,은평구,0.7,주거,N,Y,N,N,24.1,3.3,77.0,0.0,0.0,6183.66
